Comment,Designator,Footprint,LCSC Part #
0R,F1 R14,R_1206_3216Metric,C17888
100k,R8 R12,R_0805_2012Metric,C17407
100n,C1 C2,C_0805_2012Metric,C49678
10k,R1 R3 R5 R7,R_0805_2012Metric,C17414
10n,C4 C5 C6,C_0805_2012Metric,C1710
10u,C3,C_1206_3216Metric,C13585
120R,R16,R_0805_2012Metric,C17437
1k,R2 R4 R6 R11 R13 R15,R_0805_2012Metric,C17513
4k7,R9,R_0805_2012Metric,C17673
ATtiny1616-SNR,U1,SOIC-20W_7.5x12.8mm_P1.27mm,C614136
BAT54S,D1 D2 D3,SOT-23,
BSS84,Q1,SOT-23,
MMBT3904,Q2,SOT-23,C20526
TP8485E-SR,U2,SOIC-8_3.9x4.9mm_P1.27mm,C94206
gruen,D4,LED_0805_2012Metric,
