Designator,Mid X,Mid Y,Layer,Rotation
C1,44.5000mm,-27.0500mm,Top,90.0000
C2,22.0000mm,-19.0500mm,Top,90.0000
C3,16.0000mm,-19.0250mm,Top,90.0000
C4,18.0000mm,-26.0000mm,Top,0.0000
C5,18.0000mm,-33.0000mm,Top,0.0000
C6,18.0000mm,-40.0000mm,Top,0.0000
D1,23.0000mm,-26.0000mm,Top,0.0000
D2,23.0000mm,-33.0000mm,Top,0.0000
D3,23.0000mm,-40.0000mm,Top,0.0000
D4,65.5000mm,-29.5000mm,Top,0.0000
F1,10.0000mm,-19.1000mm,Top,90.0000
Q1,66.0000mm,-25.0000mm,Top,0.0000
Q2,62.0000mm,-25.0000mm,Top,0.0000
R1,8.0000mm,-26.0000mm,Top,0.0000
R2,13.0000mm,-26.0000mm,Top,0.0000
R3,8.0000mm,-33.0000mm,Top,0.0000
R4,13.0000mm,-33.0000mm,Top,0.0000
R5,8.0000mm,-40.0000mm,Top,0.0000
R6,13.0000mm,-40.0000mm,Top,0.0000
R7,61.0000mm,-16.0000mm,Top,0.0000
R8,65.0000mm,-16.0000mm,Top,0.0000
R9,69.0000mm,-16.0000mm,Top,0.0000
R11,40.0875mm,-43.0000mm,Top,0.0000
R12,45.0875mm,-43.0000mm,Top,0.0000
R13,45.0875mm,-38.0000mm,Top,0.0000
R14,45.5000mm,-20.0375mm,Top,90.0000
R15,61.0000mm,-29.5000mm,Top,0.0000
R16,40.0000mm,-14.5875mm,Top,90.0000
U1,35.0000mm,-32.3650mm,Top,0.0000
U2,33.0250mm,-17.1350mm,Top,0.0000
