Comment,Designator,Footprint,LCSC Part #
100R,R5,R_0805_2012Metric,C17408
100k,R8,R_0805_2012Metric,C149504
100n,C1 C2 C4,C_0805_2012Metric,C49678
10k,R4,R_0805_2012Metric,C17414
10u,C5,C_0805_2012Metric,C15850
120R,R1,R_0805_2012Metric,C17437
1k,R6,R_0805_2012Metric,C17513
47u,C3,C_1206_3216Metric,C76659
60R@100MHz,FB1,L_0805_2012Metric,C18305
680R,R2 R3,R_0805_2012Metric,C17798
74LVC1G17,U3,SOT-23-5,C19829593
AO3401A,Q1,SOT-23,C15127
SM712,D2,SOT-23,C32677
TP8485E-SR,U2,SOIC-8_3.9x4.9mm_P1.27mm,C94206
gruen,D1,LED_0805_2012Metric,C2297
