Designator,Mid X,Mid Y,Layer,Rotation
C1,40.0000mm,-21.0000mm,Top,90.0000
C2,34.0000mm,-34.0000mm,Top,0.0000
C3,29.0000mm,-48.0000mm,Top,90.0000
C4,32.0000mm,-6.0000mm,Top,0.0000
C5,44.0000mm,-15.0000mm,Top,0.0000
D1,42.0000mm,-48.0000mm,Top,0.0000
FB1,24.0000mm,-48.0000mm,Top,90.0000
R1,33.0000mm,-22.0000mm,Top,90.0000
R2,33.0000mm,-26.0000mm,Top,90.0000
R3,33.0000mm,-30.0000mm,Top,90.0000
R4,44.0000mm,-30.0000mm,Top,0.0000
R5,40.0000mm,-38.0000mm,Top,0.0000
R6,37.0000mm,-48.0000mm,Top,0.0000
U2,40.0000mm,-26.0000mm,Top,0.0000
U3,34.0000mm,-38.0000mm,Top,0.0000
